uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PI,Bom Jesus,Universidade Pitágoras Unopar,BOM JESUS/PI (1051532) - Centro,Administração,Bacharelado,Curso a Distância,369.00,6,2,,,586.40,536.64,,
PI,Campo Maior,Universidade Pitágoras Unopar,CAMPO MAIOR/PI (1051676) - Centro,Administração,Bacharelado,Curso a Distância,229.00,1,1,,,576.18,565.24,,
PI,Esperantina,Universidade Pitágoras Unopar,ESPERANTINA/PI (1051550) - Centro,Administração,Bacharelado,Curso a Distância,249.00,4,1,,,575.02,559.30,,
PI,Floriano,Centro Universitário Internacional - Uninter - UNINTER,PAP FLORIANO - Centro,Administração,Bacharelado,Curso a Distância,298.00,1,,1,,627.10,,567.00,
PI,Floriano,Universidade Anhanguera - UNIDERP,FLORIANO/PI (2008480) - Centro,Administração,Bacharelado,Curso a Distância,259.00,1,1,,,605.20,578.90,,
PI,Parnaiba,Centro Universitário Maurício de Nassau de Maceió - UNINASSAU MACEIÓ,POLO PARNAÍBA - Floriópolis,Administração,Bacharelado,Curso a Distância,327.65,1,,,,631.52,,,
PI,Parnaiba,Faculdade Uninassau Parnaíba,FACULDADE PIAUIENSE - Floriópolis,Administração,Bacharelado,Noturno,649.27,4,2,,,604.64,602.26,,
PI,Picos,Instituto de Educação Superior Raimundo Sá - IESRSA,INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ - Altamira,Administração,Bacharelado,Vespertino,262.50,1,,,,604.20,,,
PI,Picos,Instituto de Educação Superior Raimundo Sá - IESRSA,INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ - Altamira,Administração,Bacharelado,Noturno,262.50,1,1,,,607.34,639.60,,
PI,Piripiri,Christus Faculdade do Piauí - CHRISFAPI,UNIDADE SEDE - Fonte dos Matos,Administração,Bacharelado,Noturno,526.21,3,1,1,11,633.12,603.12,556.38,499.78
PI,Piripiri,Universidade Pitágoras Unopar,PIRIPIRI/PI (1051586) - Centro,Administração,Bacharelado,Curso a Distância,279.00,6,2,,,597.64,567.54,,
PI,Sao Raimundo Nonato,Universidade Pitágoras Unopar,SAO RAIMUNDO NONATO/PI (1051608) - Centro,Administração,Bacharelado,Curso a Distância,209.00,2,1,,,565.48,564.26,,
PI,Teresina,Centro de Ensino Superior do Vale do Parnaíba - Cesvale - CESVALE,UNIDADE SEDE - RIVERSIDE - Jockey Club,Administração,Bacharelado,Matutino,518.30,7,3,,,607.86,587.56,,
PI,Teresina,Centro de Ensino Unificado do Piauí - Ceupi - CEUPI,CENTRO DE ENSINO UNIFICADO DO PIAUÍ - CEUPI - Jockey Club,Administração,Bacharelado,Vespertino,669.60,1,1,3,51,624.70,574.04,506.40,509.54
PI,Teresina,Centro de Ensino Unificado do Piauí - Ceupi - CEUPI,CENTRO DE ENSINO UNIFICADO DO PIAUÍ - CEUPI - Jockey Club,Administração,Bacharelado,Noturno,669.60,1,1,3,51,594.08,571.94,503.56,499.14
PI,Teresina,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - TERESINA - Teresina,Administração,Bacharelado,Curso a Distância,333.00,1,,,,577.20,,,
PI,Teresina,Centro Universitário Maurício de Nassau de Maceió - UNINASSAU MACEIÓ,PÓLO TERESINA - Jóquei Clube,Administração,Bacharelado,Curso a Distância,327.65,1,,,,598.80,,,
PI,Teresina,Centro Universitário Uninovafapi - UNINOVAFAPI,CAMPUS - TERESINA - URUGUAI - Uruguai,Administração,Bacharelado,Noturno,667.09,3,1,,,615.72,604.96,,
PI,Teresina,Faculdade do Piauí - FAPI,CAMPUS  - TERESINA - FÁTIMA - Fátima,Administração,Bacharelado,Matutino,219.00,1,,,,580.50,,,
PI,Teresina,Faculdade do Piauí - FAPI,CAMPUS  - TERESINA - FÁTIMA - Fátima,Administração,Bacharelado,Noturno,219.00,9,3,,,600.20,582.34,,
PI,Teresina,Faculdade Estácio de Teresina - ESTÁCIO TERESINA,TERESINA - São João,Administração,Bacharelado,Matutino,684.28,1,,,,651.06,,,
PI,Teresina,Faculdade Integral Diferencial - FACID,UNIDADE SEDE - Horto Florestal,Administração,Bacharelado,Matutino,723.90,,,,22,,,533.22,
PI,Teresina,Faculdade Integral Diferencial - FACID,UNIDADE SEDE - Horto Florestal,Administração,Bacharelado,Noturno,723.90,,,,22,,,522.28,
PI,Teresina,Faculdade Santo Agostinho - FSA,UNIDADE  - TERESINA - SAO PEDRO - Sao Pedro,Administração,Bacharelado,Noturno,662.91,,,,10,,,566.18,
PI,Teresina,Faculdade Santo Agostinho - FSA,UNIDADE  - TERESINA - SAO PEDRO - Sao Pedro,Administração,Bacharelado,Matutino,561.64,,,,10,,,573.20,
PI,Teresina,Faculdade Uninassau Aliança,CAMPUS  - TERESINA - CENTRO - Centro,Administração,Bacharelado,Matutino,1003.40,4,1,,,599.62,602.84,,
PI,Teresina,Faculdade Uninassau Teresina,CAMPUS  - TERESINA - JOQUEI CLUBE - Joquei Clube,Administração,Bacharelado,Noturno,664.02,6,2,,,590.14,596.30,,
